Name,Rating,Type,Type1,Hours,About,suggest_duration,ImageURL,Address,Guide
Central Park,4.5, Parks , Scenic Walking Areas,6:00 AM - 1:00 AM,"For more than 150 years, visitors have flocked to Central Park's 843 green acres in the heart of Manhattan. Since 1980, the Park has been managed by the Central Park Conservancy, in partnership with the public. Central Park is open 6 am to 1 am daily. Visit the official website of Central Park to learn more about Park happenings and activities and to learn how you to help Central Park!",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/90/ab/88/central-park-manhattan.jpg?w=100&h=-1&s=1,"59th to 110th Street Manhattan Borough, from Central Park West to 5th Avenue, New York City, NY 10022","How to get there
81st St – Museum of Natural History • 6 min walk
86th St • 7 min walk"
The National 9/11 Memorial & Museum,4.5, Historic Sites , Points of Interest & Landmarks,10:00 AM - 5:00 PM,"Through commemoration, exhibitions and educational programs, The National September 11 Memorial & Museum, a nonprofit in New York City, remembers and honors the 2,983 people killed in the horrific attacks of September 11, 2001, and February 26, 1993, as well as those who risked their lives to save others and all who demonstrated extraordinary compassion in the aftermath of the attacks.

9/11 Memorial, Open Daily, 7-days, 10 a.m. to 5 p.m.

9/11 Memorial Museum, Open Thursday–Monday, 10 a.m. to 5 p.m.

Thanksgiving and Christmas: Memorial Only, 10 a.m. to 4 p.m.; Museum Closed",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/14/b3/aa/b3/911-memorial-nyc.jpg?w=100&h=-1&s=1,"180 Greenwich St World Trade Center, New York City, NY 10007-0089","How to get there
Cortlandt St • 3 min walk
Chambers St • 4 min walk"
Empire State Building,4.5, Architectural Buildings , Observation Decks & Towers,10:00 AM - 10:00 PM,"The Empire State Building is the World's Most Famous Building. It rises 1,454 ft from ground to antenna & features the only 360 degree open-air vantage point of Midtown. The 86th & 102nd Fl Observatories are open daily, see esbnyc.com for hours. On a clear day you can see up to 6 states. The brand-new 2nd floor museum (included in all ticket options) offers guests 10,000 sq ft of interactive exhibits that invite visitors on a journey beginning from the building’s construction to its current place in pop culture. The 102nd Fl Obs features floor-to-ceiling windows and a glass elevator with sound & light experience. It is the jewel of NYC. All signage, audio & exhibits in the building are available in 9 languages. We offer free Wi-Fi. The 34th St Lobby entrance features a grand staircase with a 2-story architectural model of the bldg & a high-tech LED exhibit that celebrates lighting ceremonies performed by famous, celebrity guests. Express guests receive red carpet VIP treatment.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0e/9d/74/9f/photo0jpg.jpg?w=100&h=-1&s=1,"20 West 34th Street, New York City, NY 10001","How to get there
34th St – Herald Square • 3 min walk
33rd St • 5 min walk"
Fountains of Bellagio,4.5,Points of Interest & Landmarks , Fountains,12:00 PM - 12:00 AM,"Every night, over 1,000 fountains sway and dance to music and lights on an artificial lake in front of the Bellagio Resort.",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/11/13/7f/fontaines-du-bellagio.jpg?w=100&h=-1&s=1,"3600 Las Vegas Blvd S Bellagio Hotel & Casino, Las Vegas, NV 89109-4303","How to get there
Bally's / Paris Las Vegas Station • 5 min walk
Flamingo / Caesars Palace Station • 9 min walk"
Alcatraz Island,4.5,Historic Sites , Islands,NULL,"Alcatraz Island was once the most secure federal prison in the U.S., and held notorious inmates like Al Capone. After being decommissioned in 1963, the prison is now a museum, welcoming millions of curious travelers every year. Catch the ferry on Pier 33 to Alcatraz and explore the island at your own pace as you soak up the views of San Francisco and the bay.

You can take a guided tour with a park ranger to learn more about the intriguing anecdotes about the facility’s fascinating history. But book your spots early—tickets sell out fast. 

– Tripadvisor",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0f/7c/af/88/aerial-shot-of-alcatraz.jpg?w=100&h=-1&s=1,NULL,NULL
Top of the Rock,4.5,Lookouts , Observation Decks & Towers,9:00 AM - 11:00 PM,"Top of the Rock Observation Deck, the newly opened, 3-tiered observation deck on the 67th, 69th and 70th floors of 30 Rockefeller Plaza, is New York City's most amazing attraction! The unforgettable experience includes a panoramic 360-degree, unobstructed view from the 70th floor observatory, 850 feet in the sky! Hours of Operation: 8:00 AM - Midnight, last elevator goes up at 11:00 PM.Main entrance is located on 50th Street between 5th & 6th Avenues.",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/15/64/68/68/new-york-traumblick-auf.jpg?w=100&h=-1&s=1,"30 Rockfeller Plaza Enter on West 50th Street, between 5th & 6th Avenues, New York City, NY 10111","How to get there
47–50 Sts – Rockefeller Center • 2 min walk
5th Ave / 53rd St • 5 min walk"
The Metropolitan Museum of Art,5.0,Points of Interest & Landmarks , Art Museums,10:00 AM - 9:00 PM,"At New York City's most visited museum and attraction, you will experience over 5,000 years of art from around the world. The Met is for anyone as a source of inspiration, insight and understanding. You can learn, escape, play, dream, discover, connect.",2-3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/24/61/95/89/the-met-fifth-avenue.jpg?w=100&h=-1&s=1,"1000 5th Ave, New York City, NY 10028-0198","How to get there
86th St • 8 min walk
77th St • 9 min walk"
Sugarlands Distilling Company,5.0,NULL,NULL,10:00 AM - 10:30 PM,"Sugarlands Distilling Company is conveniently located in downtown Gatlinburg. Visitors who come to the barn-style distillery can take a behind-the-scenes tour of our still house and learn firsthand how we make our authentic Sugarlands spirits. Adults over the age of 21 can take a guided tasting flight of our spirits at the Sippin' Posts. Our Back Porch stage offers free shows covering many genres, open to guests of all ages. REMEMBER TO ALWAYS SIP WISELY.",< 1 hour,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1c/6a/63/84/tucked-into-the-great.jpg?w=100&h=-1&s=1,"805 Parkway, Gatlinburg, TN 37738-3248",NULL
The High Line,4.5,Parks , Scenic Walking Areas,7:00 AM - 7:00 PM,"This elevated railway turned public park provides fantastic views of the Hudson River and New York City skyline on Manhattan's West Side. The 1.5-mile High Line draws travelers to its lush horticulture, art installations and community programs. Here, you can have a leisure stroll along the structure and admire colorful murals and installations all around. Other must-sees of the area include the Chelsea Market, the Whitney Museum of American Art and the Vessel.

Hear the story behind this unique greenway on a free tour led by knowledgeable guides which takes place on some days. – Tripadvisor",1-2 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/1b/92/81/32/photo1jpg.jpg?w=100&h=-1&s=1,"Gansevoort St To W. 30 St. Between Washington St. and 11 Ave, New York City, NY 10011","How to get there
14th St / 8th Ave • 6 min walk
8th Ave • 6 min walk"
The National WWII Museum,5.0,Military Museums , Speciality Museums,9:00 AM - 5:00 PM,"The National WWII Museum is the top-rated tourist destination in New Orleans and #2 in the U.S., and an unforgettable way to experience World War II—from industrial efforts on the home front to the combat experience of the American servicemember abroad. Offering a compelling blend of sweeping narrative and poignant personal detail, the Museum features immersive exhibits, multimedia experiences, and an expansive collection of artifacts and first-person oral histories to take visitors inside the story of the war: why it was fought, how it was won, and what it means today. Beyond the galleries, the Museum offers unique access to experiential history, including an opportunity to tour and ride on an authentically restored PT-boat, tours behind the scenes to handle artifacts alongside Museum curators, and an impressive collection of restored and working macro-artifacts to discover. Open early through 1/2/18, 8:30 a.m.-5:00 p.m.",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/18/68/e5/the-national-wwii-museum.jpg?w=100&h=-1&s=1,"945 Magazine Street, New Orleans, LA 70130-3813",NULL
Golden Gate Bridge,4.5, Points of Interest & Landmarks , Bridges,NULL,"Stretching 4,200 feet and towering as high as a 65-story building, this well-known bridge is the gateway to San Francisco.",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/0a/32/dd/10/golden-gate-bridge.jpg?w=100&h=-1&s=1,"US-101, San Francisco, CA 94129",NULL
The Wizarding World of Harry Potter,5.0,NULL,NULL,9:00 AM - 9:00 PM,"Step inside a world where magic is real. Within Universal’s Islands of Adventure™ theme park you can visit the iconic Hogwarts™ castle and explore Hogsmeade™ village. And, at Universal Studios Florida™ theme park, you can enter Diagon Alley™ to enjoy a multi-dimensional thrill ride, magical experiences, and more. Get ready to explore more of Harry Potter’s world than ever before. With a Park-to-Park Ticket, you can board the Hogwarts™ Express* and travel between both Hogsmeade™ in Universal’s Islands of Adventure™ and Diagon Alley™ in Universal Studios Florida™. *Park-to-Park admission ticket required and additional restrictions apply",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/5b/88/11/the-wizarding-world-of.jpg?w=100&h=-1&s=1,"6000 Universal Boulevard Islands Of Adventure, Orlando, FL 32819-7640",NULL
Universal's Islands of Adventure,4.5,NULL,NULL,9:00 AM - 9:00 PM,"Prepare for a place where super heroes, beasts, and magical creatures stand before you. You're entering lands where everything is real. Explore a secret school of witchcraft and wizardry. Fly high above the city streets with a famous web slinger. Hide from hungry dinosaurs and hope you're not their next meal. And you can face the most colossal ape ever to walk the earth. Let the adventures begin.",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/09/e0/eb/universal-s-islands-of.jpg?w=100&h=-1&s=1,"6000 Universal Blvd, Orlando, FL 32819-7640",NULL
Statue of Liberty,4.5,Points of Interest & Landmarks , Monuments & Statues,8:30 AM - 4:00 PM,"The Statue of Liberty Enlightening the World was a gift of friendship from the people of France to the people of the United States and is a universal symbol of freedom and democracy. The Statue of Liberty was dedicated on October 28, 1886, designated as a National Monument in 1924 and restored for her centennial on July 4, 1986.",More than 3 hours,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/04/ba/d3/e8/statue-of-liberty_rotated_90.jpg?w=100&h=-1&s=1,"Liberty Island, New York City, NY 10004",NULL
